timestamp,profile,mode,case_family,dataset,ratio,minsup_pct,minsup_abs,variant,run_type,run_id,wall_sec,mining_sec,cpu_pct,maxrss_kb,internal_mem_mb,patterns,nodes_visited,subtrees_pruned_raw,nodes_gated,status,log_file
20260402_042929,full,full,single_dense,SIGN,0.01,1.000000,8,NoPrune,warmup,1,387.728,387.618,0,0,2216.6921615600586,37265723,99962672,14728858,0,OK,"experiments/logs_ablation/20260402_042929/SIGN_NoPrune_0.01_warmup1.log"
20260402_042929,full,full,single_dense,SIGN,0.01,1.000000,8,NoPrune,measured,1,393.714,393.602,0,0,1768.4572448730469,37265723,99962672,14728858,0,OK,"experiments/logs_ablation/20260402_042929/SIGN_NoPrune_0.01_run1.log"
20260402_042929,full,full,single_dense,SIGN,0.01,1.000000,8,NoPrune,measured,2,396.159,396.046,0,0,1800.661247253418,37265723,99962672,14728858,0,OK,"experiments/logs_ablation/20260402_042929/SIGN_NoPrune_0.01_run2.log"
20260402_042929,full,full,single_dense,SIGN,0.01,1.000000,8,NoPrune,measured,3,390.772,390.661,0,0,2184.8291091918945,37265723,99962672,14728858,0,OK,"experiments/logs_ablation/20260402_042929/SIGN_NoPrune_0.01_run3.log"
20260402_042929,full,full,single_prune_stress,Kosarak25k,0.0005,0.050000,13,NoPrune,warmup,1,7200,7200,0,0,0,0,0,0,0,TIMEOUT,"experiments/logs_ablation/20260402_042929/Kosarak25k_NoPrune_0.0005_warmup1.log"
20260402_042929,full,full,single_prune_stress,Kosarak25k,0.0005,0.050000,13,NoPrune,measured,1,7200,7200,0,0,0,0,0,0,0,TIMEOUT,"experiments/logs_ablation/20260402_042929/Kosarak25k_NoPrune_0.0005_run1.log"
20260402_042929,full,full,single_prune_stress,Kosarak25k,0.0005,0.050000,13,NoPrune,measured,2,7200,7200,0,0,0,0,0,0,0,TIMEOUT,"experiments/logs_ablation/20260402_042929/Kosarak25k_NoPrune_0.0005_run2.log"
20260402_042929,full,full,single_prune_stress,Kosarak25k,0.0005,0.050000,13,NoPrune,measured,3,7200,7200,0,0,0,0,0,0,0,TIMEOUT,"experiments/logs_ablation/20260402_042929/Kosarak25k_NoPrune_0.0005_run3.log"
20260402_042929,full,full,multi_mixed,D20C20,0.001,0.100000,20,NoPrune,warmup,1,2387.796,2387.668,0,0,5175.407821655273,1464711,148672242,50123932,26684444,OK,"experiments/logs_ablation/20260402_042929/D20C20_NoPrune_0.001_warmup1.log"
20260402_042929,full,full,multi_mixed,D20C20,0.001,0.100000,20,NoPrune,measured,1,2378.345,2378.237,0,0,4469.19775390625,1464711,148672242,50123932,26684444,OK,"experiments/logs_ablation/20260402_042929/D20C20_NoPrune_0.001_run1.log"
20260402_042929,full,full,multi_mixed,D20C20,0.001,0.100000,20,NoPrune,measured,2,2444.996,2444.875,0,0,3893.5358963012695,1464711,148672242,50123932,26684444,OK,"experiments/logs_ablation/20260402_042929/D20C20_NoPrune_0.001_run2.log"
20260402_042929,full,full,multi_mixed,D20C20,0.001,0.100000,20,NoPrune,measured,3,2450.878,2450.752,0,0,4901.526924133301,1464711,148672242,50123932,26684444,OK,"experiments/logs_ablation/20260402_042929/D20C20_NoPrune_0.001_run3.log"
20260402_042929,full,full,multi_gate_heavy,D5N1,0.004,0.400000,20,NoPrune,warmup,1,534.926,534.818,0,0,801.5023574829102,2906522,33258436,1160413,16642818,OK,"experiments/logs_ablation/20260402_042929/D5N1_NoPrune_0.004_warmup1.log"
20260402_042929,full,full,multi_gate_heavy,D5N1,0.004,0.400000,20,NoPrune,measured,1,537.106,536.996,0,0,801.5023574829102,2906522,33258436,1160413,16642818,OK,"experiments/logs_ablation/20260402_042929/D5N1_NoPrune_0.004_run1.log"
20260402_042929,full,full,multi_gate_heavy,D5N1,0.004,0.400000,20,NoPrune,measured,2,547.159,547.054,0,0,801.5023574829102,2906522,33258436,1160413,16642818,OK,"experiments/logs_ablation/20260402_042929/D5N1_NoPrune_0.004_run2.log"
20260402_042929,full,full,multi_gate_heavy,D5N1,0.004,0.400000,20,NoPrune,measured,3,552.553,552.441,0,0,801.5023574829102,2906522,33258436,1160413,16642818,OK,"experiments/logs_ablation/20260402_042929/D5N1_NoPrune_0.004_run3.log"
20260402_042929,full,full,single_prune_sparse,BMS2,0.00005,0.005000,4,NoPrune,warmup,1,102.316,102.210,0,0,1076.110481262207,1196295,60193074,21833808,0,OK,"experiments/logs_ablation/20260402_042929/BMS2_NoPrune_0.00005_warmup1.log"
20260402_042929,full,full,single_prune_sparse,BMS2,0.00005,0.005000,4,NoPrune,measured,1,101.342,101.230,0,0,1730.3703918457031,1196295,60193074,21833808,0,OK,"experiments/logs_ablation/20260402_042929/BMS2_NoPrune_0.00005_run1.log"
20260402_042929,full,full,single_prune_sparse,BMS2,0.00005,0.005000,4,NoPrune,measured,2,103.983,103.872,0,0,1233.9916534423828,1196295,60193074,21833808,0,OK,"experiments/logs_ablation/20260402_042929/BMS2_NoPrune_0.00005_run2.log"
20260402_042929,full,full,single_prune_sparse,BMS2,0.00005,0.005000,4,NoPrune,measured,3,101.131,101.024,0,0,1026.253791809082,1196295,60193074,21833808,0,OK,"experiments/logs_ablation/20260402_042929/BMS2_NoPrune_0.00005_run3.log"
20260402_042929,full,full,multi_mixed_heavy,D20C30,0.001,0.100000,20,NoPrune,warmup,1,7200,7200,0,0,0,0,0,0,0,TIMEOUT,"experiments/logs_ablation/20260402_042929/D20C30_NoPrune_0.001_warmup1.log"
20260402_042929,full,full,multi_mixed_heavy,D20C30,0.001,0.100000,20,NoPrune,measured,1,7200,7200,0,0,0,0,0,0,0,TIMEOUT,"experiments/logs_ablation/20260402_042929/D20C30_NoPrune_0.001_run1.log"
20260402_042929,full,full,multi_mixed_heavy,D20C30,0.001,0.100000,20,NoPrune,measured,2,7200,7200,0,0,0,0,0,0,0,TIMEOUT,"experiments/logs_ablation/20260402_042929/D20C30_NoPrune_0.001_run2.log"
20260402_042929,full,full,multi_mixed_heavy,D20C30,0.001,0.100000,20,NoPrune,measured,3,7200,7200,0,0,0,0,0,0,0,TIMEOUT,"experiments/logs_ablation/20260402_042929/D20C30_NoPrune_0.001_run3.log"
20260402_042929,full,full,multi_gate_family,D20C60,0.005,0.500000,100,NoPrune,warmup,1,673.488,673.379,0,0,801.5023574829102,1223050,2238953,4294,138335,OK,"experiments/logs_ablation/20260402_042929/D20C60_NoPrune_0.005_warmup1.log"
20260402_042929,full,full,multi_gate_family,D20C60,0.005,0.500000,100,NoPrune,measured,1,701.075,700.971,0,0,801.5023574829102,1223050,2238953,4294,138335,OK,"experiments/logs_ablation/20260402_042929/D20C60_NoPrune_0.005_run1.log"
20260402_042929,full,full,multi_gate_family,D20C60,0.005,0.500000,100,NoPrune,measured,2,773.033,772.925,0,0,801.5023574829102,1223050,2238953,4294,138335,OK,"experiments/logs_ablation/20260402_042929/D20C60_NoPrune_0.005_run2.log"
20260402_042929,full,full,multi_gate_family,D20C60,0.005,0.500000,100,NoPrune,measured,3,978.490,978.327,0,0,801.5023574829102,1223050,2238953,4294,138335,OK,"experiments/logs_ablation/20260402_042929/D20C60_NoPrune_0.005_run3.log"
20260402_042929,full,full,multi_gate_confirmation,D5N1.6,0.006,0.600000,30,NoPrune,warmup,1,36.320,35.905,0,0,161.50235748291016,236046,385695,4654,82499,OK,"experiments/logs_ablation/20260402_042929/D5N1.6_NoPrune_0.006_warmup1.log"
20260402_042929,full,full,multi_gate_confirmation,D5N1.6,0.006,0.600000,30,NoPrune,measured,1,36.061,35.783,0,0,161.50235748291016,236046,385695,4654,82499,OK,"experiments/logs_ablation/20260402_042929/D5N1.6_NoPrune_0.006_run1.log"
20260402_042929,full,full,multi_gate_confirmation,D5N1.6,0.006,0.600000,30,NoPrune,measured,2,35.860,35.369,0,0,161.50235748291016,236046,385695,4654,82499,OK,"experiments/logs_ablation/20260402_042929/D5N1.6_NoPrune_0.006_run2.log"
20260402_042929,full,full,multi_gate_confirmation,D5N1.6,0.006,0.600000,30,NoPrune,measured,3,32.621,32.316,0,0,161.50235748291016,236046,385695,4654,82499,OK,"experiments/logs_ablation/20260402_042929/D5N1.6_NoPrune_0.006_run3.log"
